edad,grado,tipo_actividad,dificultad,tiempo_seg,intentos,pistas,correcto,nota,secuencia_actividades,evolucion_desempeno,nivel_concentracion,comparacion_historial,nivel_comprension
9,4,crucigrama,2,219,4,2,0,7,2,0.47,0.94,0.18,0.3783952933092938
12,6,sopa_letras,1,103,4,3,1,9,2,-0.18,0.67,-0.06,0.5031143457522484
9,4,memoria,5,258,5,2,1,10,1,0.07,0.67,0.28,0.607848330207176
9,5,sopa_letras,3,176,5,0,1,9,3,-0.13,0.78,0.27,0.5916933399804577
10,5,sopa_letras,3,215,3,2,1,9,3,0.4,0.58,-0.07,0.6763214709928216
11,6,relacionar,3,164,3,3,0,5,5,0.01,0.96,-0.13,0.4186879753096242
9,6,crucigrama,1,259,5,1,1,10,1,-0.13,0.57,-0.04,0.5802010885814813
12,4,memoria,2,296,1,2,1,5,5,0.46,0.68,0.05,0.4952754596124217
12,5,sopa_letras,2,87,3,2,0,6,2,-0.18,0.74,-0.14,0.15891636218917315
10,4,relacionar,5,169,2,3,1,8,2,0.25,0.72,0.27,0.6646527667640161
12,4,sopa_letras,2,187,4,2,0,9,4,0.43,0.74,-0.2,0.2535965210732942
10,4,sopa_letras,1,163,5,1,1,8,4,0.3,0.86,-0.17,0.6534295561067733
9,5,crucigrama,5,83,1,0,0,5,2,0.15,0.64,0.16,0.32831573844444495
9,6,crucigrama,1,82,1,3,0,5,3,0.2,0.77,-0.08,0.24404967766767655
12,5,crucigrama,1,224,1,0,1,6,2,0.22,0.72,0.13,0.510635928022372
11,6,memoria,2,154,4,2,0,9,2,0.46,0.92,-0.09,0.534506412614459
9,4,memoria,1,87,3,0,1,6,5,-0.14,0.87,0.24,0.5075981389025301
11,4,crucigrama,1,127,5,3,1,5,1,0.3,0.5,0.16,0.4878331294874215
10,6,sopa_letras,5,169,5,0,0,8,2,0.25,0.79,0.12,0.4390415000046909
11,4,sopa_letras,4,112,3,1,1,9,2,0.48,0.93,0.02,0.7510468888681312
12,5,sopa_letras,4,225,3,0,0,7,2,-0.03,0.81,-0.05,0.3484098880133356
9,5,sopa_letras,1,153,3,3,0,6,2,0.39,0.98,0.24,0.351300220520411
9,4,memoria,2,189,3,1,1,9,3,-0.13,0.69,-0.03,0.4565988533646762
11,6,relacionar,5,151,1,1,1,7,5,-0.03,0.58,-0.04,0.5553973176750557
10,6,sopa_letras,5,122,1,2,1,8,1,0.12,0.54,0.12,0.621267970143451
10,5,memoria,4,82,1,2,1,9,1,0.03,0.92,0.08,0.6005812546062255
11,6,sopa_letras,2,288,2,2,1,8,5,0.02,0.5,-0.07,0.48618078600708653
11,5,relacionar,5,275,2,1,0,9,2,0.17,0.93,0.2,0.44421959681569056
12,4,sopa_letras,2,284,4,3,1,7,1,-0.09,0.59,0.16,0.5779217474528433
10,6,memoria,1,106,1,1,0,10,3,0.29,0.56,0.07,0.2649706842431706
12,5,crucigrama,4,124,4,1,1,9,5,-0.03,0.98,0.12,0.5886041936552794
11,6,relacionar,3,266,2,2,1,6,4,0.42,0.82,0.2,0.5662477050715761
12,4,crucigrama,2,99,3,0,0,10,3,0.32,0.56,0.23,0.29834579584772336
9,4,crucigrama,5,137,5,3,1,6,5,-0.11,0.82,0.22,0.6709884635722536
9,6,memoria,2,233,5,0,0,8,2,-0.05,0.63,0.05,0.40562209316681785
11,4,memoria,5,108,2,1,0,7,2,-0.18,0.72,0.03,0.3463921680607198
10,4,memoria,4,231,5,3,0,5,4,0.07,0.77,0.13,0.2714732125562345
9,5,relacionar,3,147,2,1,1,8,3,-0.1,0.81,0.02,0.6932004100314781
9,6,memoria,4,156,2,1,1,10,3,0.5,0.55,-0.09,0.7187291597377903
11,5,memoria,2,134,2,1,1,5,1,0.45,0.98,0.02,0.592041008501799
10,4,sopa_letras,3,248,5,3,1,5,1,0.44,0.91,0.28,0.5014920869698218
10,4,crucigrama,5,258,5,0,0,6,1,0.22,0.96,-0.06,0.4664553565711653
12,4,crucigrama,2,150,1,3,0,5,3,0.32,0.59,-0.04,0.32701878738189966
10,6,sopa_letras,4,94,2,1,1,5,3,-0.07,0.79,0.2,0.5764980363719313
10,5,sopa_letras,3,231,3,0,0,7,4,0.03,0.81,0.26,0.3013002196384598
12,5,crucigrama,3,132,1,3,0,5,3,0.17,0.85,0.26,0.3999517289635981
12,5,relacionar,1,91,1,0,1,9,3,-0.08,0.7,0.06,0.5204674505764723
12,5,memoria,3,99,2,0,1,10,4,0.23,0.83,-0.16,0.641409947724918
12,5,relacionar,4,218,3,3,1,6,5,0.29,0.77,-0.09,0.5936505057032164
11,5,relacionar,1,111,3,3,0,7,4,0.13,0.56,0.09,0.2029778590376228
9,5,memoria,2,201,1,3,1,10,2,0.27,0.69,-0.1,0.6116475467048048
9,6,sopa_letras,2,195,4,0,0,10,4,0.39,0.82,0.1,0.4407884821592395
10,4,crucigrama,3,111,4,3,0,6,5,0.14,0.73,-0.03,0.3697469916525972
10,5,sopa_letras,1,179,3,0,1,5,5,0.01,0.7,0.17,0.528303490001617
9,5,crucigrama,4,297,5,2,0,5,5,0.13,0.57,-0.11,0.23037035220144075
9,5,sopa_letras,3,99,3,2,0,5,5,-0.09,0.86,0.26,0.2726667717407744
12,5,memoria,3,289,2,0,1,8,5,0.1,0.77,-0.13,0.5424708001533699
9,5,crucigrama,5,217,1,0,0,10,4,-0.04,0.63,-0.05,0.41365960073700936
9,6,crucigrama,4,105,3,1,1,6,4,0.01,0.81,-0.16,0.5078205385996496
10,4,memoria,1,92,2,2,1,9,2,-0.2,0.51,0.18,0.5258469668858103
12,6,relacionar,3,282,1,2,1,10,3,0.27,0.52,-0.17,0.5730842300835292
9,5,crucigrama,3,296,3,0,1,6,5,0.18,0.92,-0.09,0.7763787526208479
12,4,memoria,4,188,5,3,1,10,5,-0.15,0.61,-0.05,0.6098069241665253
12,6,memoria,2,152,1,0,0,6,2,-0.12,0.55,-0.13,0.2674819863329943
10,4,crucigrama,2,250,4,1,1,9,4,0.33,0.61,-0.08,0.5881394662520912
10,4,crucigrama,2,267,4,0,1,9,4,-0.07,0.69,-0.17,0.5744914485657928
10,5,sopa_letras,2,215,5,3,1,9,5,-0.18,0.72,0.24,0.5404121838351538
9,4,memoria,3,103,3,3,1,9,5,0.47,0.94,0.3,0.688797150689582
12,4,memoria,1,215,4,3,1,7,3,0.07,0.79,-0.19,0.527476132245432
10,6,sopa_letras,1,169,5,1,0,8,5,0.03,0.67,0.09,0.34487958232893
12,4,sopa_letras,5,122,2,1,0,6,2,-0.01,0.79,0.1,0.4249821864678167
10,5,memoria,1,87,2,3,1,6,3,0.07,0.67,0.27,0.41422362221223813
9,5,crucigrama,1,209,5,3,0,6,2,-0.2,0.64,-0.16,0.25664413501804306
12,4,relacionar,3,176,5,3,1,5,5,0.24,0.57,0.1,0.5813019495128069
12,6,memoria,2,170,4,2,1,9,5,-0.04,0.77,0.17,0.5409899199106398
9,5,memoria,5,243,5,2,1,5,4,0.28,0.98,-0.02,0.6878599952692985
11,4,relacionar,5,211,2,2,0,5,4,-0.0,0.89,0.2,0.35912340060197745
11,5,memoria,1,128,2,1,1,6,3,-0.1,0.66,-0.18,0.5217730138440843
11,5,crucigrama,3,201,1,0,1,6,2,0.28,0.85,-0.03,0.5071460541000874
10,5,relacionar,3,96,4,2,0,9,3,-0.01,0.79,0.12,0.2940904637916898
10,4,crucigrama,5,206,1,3,0,5,5,-0.08,0.7,0.11,0.40071529376624565
11,6,relacionar,2,143,3,2,1,7,5,0.05,0.92,0.13,0.6114203766862792
9,4,relacionar,2,139,1,2,1,8,1,0.41,0.65,0.29,0.5558740262977702
10,4,sopa_letras,2,265,1,0,1,10,2,0.44,0.59,0.23,0.504921151048703
12,6,crucigrama,4,114,3,0,1,9,1,-0.16,0.66,-0.14,0.5889494356809396
9,6,crucigrama,5,192,5,2,1,9,1,0.18,0.87,-0.03,0.6555467304453443
9,6,crucigrama,5,87,4,1,0,10,3,-0.09,0.76,0.29,0.4150162216375578
10,6,crucigrama,2,134,4,2,1,9,3,0.48,0.81,0.26,0.6441774345200728
12,4,relacionar,1,180,3,3,1,9,5,0.4,0.58,0.03,0.5231328749197273
10,6,relacionar,2,133,3,3,0,6,2,-0.17,0.67,0.22,0.18254055377656025
10,5,relacionar,1,197,3,3,1,10,2,-0.16,0.72,0.14,0.5316084650113237
10,4,relacionar,2,295,5,1,1,7,4,0.28,0.5,-0.01,0.6116152018816124
9,4,relacionar,4,140,3,0,0,5,2,0.41,0.89,0.06,0.3563679340050782
11,5,memoria,4,195,5,1,0,8,4,0.34,0.86,-0.2,0.43798869622822145
11,6,relacionar,2,288,4,1,0,7,4,0.19,0.83,0.04,0.31970539628278466
9,4,sopa_letras,4,162,2,2,1,9,4,-0.01,0.77,-0.09,0.483788377906948
11,4,relacionar,4,173,3,0,0,6,1,0.3,0.82,-0.13,0.3790936223386541
10,5,memoria,1,99,2,1,1,6,4,0.36,0.85,-0.06,0.5016790652016533
12,6,sopa_letras,5,106,5,0,1,9,1,0.22,0.76,-0.04,0.7270326009870925
10,6,sopa_letras,4,109,5,0,0,9,1,0.49,0.81,-0.18,0.41287605739915817
12,5,sopa_letras,3,233,3,2,0,8,3,0.24,0.98,-0.07,0.3763832126527695
12,6,memoria,4,142,2,0,1,8,2,0.3,0.7,0.27,0.634374245846422
11,5,memoria,5,191,5,2,0,7,5,0.39,0.74,-0.02,0.4009532261207896
12,4,relacionar,5,281,4,3,1,5,4,0.34,0.86,-0.07,0.6300495259016704
12,6,crucigrama,5,292,2,1,0,8,5,-0.04,0.78,-0.16,0.36566789658635473
12,5,sopa_letras,3,214,5,0,0,9,3,0.17,0.93,-0.12,0.462379929485093
9,5,memoria,1,91,3,3,1,7,3,0.13,0.7,0.09,0.4161409184475962
12,6,sopa_letras,4,99,4,3,0,10,2,0.41,0.79,0.07,0.47087448249549607
11,4,sopa_letras,2,297,3,2,1,8,3,0.05,0.92,0.28,0.6044829839267045
10,5,crucigrama,5,116,3,3,1,6,5,-0.14,0.55,0.09,0.5642159486530378
11,6,relacionar,5,146,2,3,0,9,3,0.45,0.77,0.23,0.5630819890964339
9,4,memoria,4,187,5,0,1,8,4,0.48,0.54,0.04,0.6240418906000497
12,4,crucigrama,4,136,3,1,0,6,3,0.06,0.81,0.22,0.3302303956875969
12,4,crucigrama,3,97,3,0,1,6,3,0.29,0.58,-0.11,0.5171804338454248
9,6,memoria,5,145,1,1,0,6,3,0.17,0.73,0.01,0.3137313356974782
10,6,sopa_letras,5,170,5,1,0,8,1,0.01,0.55,0.01,0.24286899168075982
10,5,memoria,4,248,2,1,0,8,1,0.48,0.81,0.25,0.4534781014684105
12,6,crucigrama,3,184,4,0,1,7,3,-0.16,0.73,0.22,0.5244214231274783
11,5,relacionar,2,179,3,2,1,10,5,0.08,0.64,-0.05,0.5697512654805732
11,4,relacionar,5,91,4,1,0,9,5,-0.02,0.96,-0.12,0.3527976307369116
9,6,crucigrama,1,267,5,0,1,9,5,-0.2,0.54,0.13,0.4588874187377111
11,4,sopa_letras,2,81,4,0,0,9,5,0.02,0.55,0.23,0.23561937326505442
11,5,memoria,1,108,1,3,0,7,1,-0.14,0.92,0.13,0.31202304161248673
11,5,memoria,2,102,1,2,1,7,2,0.25,0.71,-0.17,0.525829987005483
12,4,sopa_letras,2,151,3,1,1,9,2,0.14,0.82,0.1,0.5841153799963237
11,6,relacionar,1,226,2,3,0,10,4,0.02,0.81,0.05,0.3641781469068077
11,4,memoria,5,152,3,3,0,6,1,0.41,0.63,0.14,0.2657613674282734
12,5,relacionar,4,228,1,2,1,7,3,0.27,0.8,-0.11,0.6125267709345328
9,4,memoria,3,272,1,3,1,5,3,-0.03,0.77,-0.02,0.4978778228069165
9,5,relacionar,1,180,2,3,1,9,2,0.33,0.97,-0.08,0.6404779011024024
9,4,sopa_letras,1,287,3,3,0,7,5,-0.18,0.67,0.27,0.1388634407316562
11,6,memoria,4,134,3,2,0,9,5,0.4,0.88,0.15,0.3890754049983194
12,4,memoria,4,296,3,2,0,5,1,0.07,0.54,-0.04,0.22234925890319512
9,6,sopa_letras,5,119,3,1,1,8,3,0.17,0.63,-0.02,0.6677163341698318
9,6,sopa_letras,2,269,5,0,1,6,2,0.04,1.0,-0.11,0.6810163107306233
9,4,crucigrama,5,158,4,0,1,6,3,0.21,0.9,-0.11,0.6557264241329235
12,5,relacionar,3,148,5,3,1,6,1,0.08,0.6,0.15,0.49722601278249917
9,5,relacionar,5,135,4,2,1,7,5,-0.08,0.64,-0.01,0.5320331190901376
11,6,sopa_letras,1,258,1,2,1,9,3,0.23,0.51,0.12,0.5471120962383615
9,4,memoria,1,106,5,2,1,6,5,-0.07,0.51,-0.1,0.38100789487794734
10,6,sopa_letras,1,203,3,3,0,5,1,0.35,0.56,0.05,0.2108440629584564
9,6,crucigrama,1,231,1,1,0,8,5,0.4,0.86,0.27,0.3410710970156116
10,5,sopa_letras,2,223,4,3,1,5,3,0.32,0.91,-0.07,0.591120892021523
